Cluster ID,Size (voxels),x,y,z,Peak Z,Harvard-Oxford Label
10,2552,8.77,14.76,37.2,14.444805976848501,Paracingulate Gyrus
3,1223,17.82,-23.3,-14.23,12.756695285024161,"Parahippocampal Gyrus, anterior division"
15,391,-49.42,-54.71,64.14,10.478894275149086,Background
25,1079,-31.28,19.76,88.9,10.397819647469566,Background
2,1470,-26.89,5.63,-14.92,10.365106001338777,Cuneal Cortex
9,1722,-18.36,-68.24,37.48,9.04989922378595,Angular Gyrus
7,626,-10.53,48.25,-3.63,8.931381564783807,Subcallosal Cortex
29,380,-11.93,-41.2,108.59,8.626844058876202,Background
11,393,-32.1,-18.26,32.27,8.606853500393157,Background
6,84,-57.15,-55.27,-6.39,7.724023860617309,"Middle Temporal Gyrus, posterior division"
22,239,-8.78,46.34,76.62,6.86725224689991,Background
1,121,-2.41,-47.6,-34.99,6.859577537266436,Background
27,21,-64.71,6.19,91.07,6.6240263076729775,Background
31,32,-14.62,-17.42,109.0,5.74846858428645,Background
14,87,-7.59,-25.57,34.81,5.642642501360682,"Cingulate Gyrus, anterior division"
19,29,-31.24,11.03,56.19,5.578097416332502,Superior Frontal Gyrus
18,24,2.98,-53.54,49.62,5.09876060498758,"Cingulate Gyrus, posterior division"
13,42,-31.56,8.75,17.57,5.051838016121191,Frontal Operculum Cortex
4,273,-39.96,-61.22,-22.08,-3.6218110418937193,"Temporal Fusiform Cortex, posterior division"
26,215,-39.45,-58.35,97.08,-3.6224150974076683,Background
8,729,1.3,-75.07,5.06,-3.6238610468268027,"Parahippocampal Gyrus, posterior division"
30,45,-0.39,-4.06,101.97,-3.626214225954785,Background
16,868,15.24,-60.27,71.12,-3.6288730353692853,Angular Gyrus
17,37,18.09,-24.32,43.53,-3.630501790413633,"Inferior Frontal Gyrus, pars opercularis"
5,41,-61.68,-76.95,-10.74,-3.636219009214903,Background
21,29,-32.88,-89.48,72.84,-3.6378414421806187,Background
24,56,13.41,-22.19,79.11,-3.640360174756671,"Inferior Frontal Gyrus, pars opercularis"
23,44,17.82,-10.97,69.8,-3.6429869644239856,Insular Cortex
28,29,-22.1,39.14,94.98,-3.6565902146628257,Background
20,26,27.54,-22.02,66.88,-3.6689100952714293,"Inferior Frontal Gyrus, pars opercularis"
12,73,-18.21,14.45,17.99,-3.7499132728455966,Background
