Subject ID,movie,engagement,salience
Sub-037,office,8,high
Sub-037,sherlock,6,high
Sub-037,brushing,2,low
Sub-037,origami,3,low
Sub-037,cake,5,low
Sub-038,shrek,8,high
Sub-038,office,10,high
Sub-038,sherlock,10,high
Sub-038,brushing,3,low
Sub-038,origami,5,low
Sub-038,cake,4,low
Sub-039,shrek,7,high
Sub-039,office,9,high
Sub-039,sherlock,5,high
Sub-039,brushing,3,low
Sub-039,origami,3,low
Sub-039,cake,1,low
Sub-040,shrek,9,high
Sub-040,office,7,high
Sub-040,sherlock,8,high
Sub-040,brushing,4,low
Sub-040,origami,7,low
Sub-040,cake,4,low
