connection_idx,mean_connectivity_z,condition
0,0.01828883359487471,external
1,-0.035666880002467434,external
2,-0.06470007952972903,external
3,-0.09731649409910466,external
4,-0.07309176051965936,external
5,-0.028437335774582715,external
6,0.039776766957123226,external
7,-0.03793439544766521,external
8,0.01576037992534988,external
9,-0.07554486570856066,external
10,-0.013051676223355069,external
11,0.16409404084126686,external
12,0.02017229659137715,external
13,-0.016415681696758225,external
14,-0.061286092651765996,external
15,-0.039320456236277605,external
16,0.0879953676457856,external
17,0.00897313682932809,external
18,-0.106928501993173,external
19,-0.0473266092501071,external
20,-0.10644971833266952,external
21,-0.09569488051119278,external
22,-0.013658420988236683,external
23,0.057705106894638904,external
24,-0.031867900868333174,external
25,-0.05005102839644209,external
26,-0.06035349075342523,external
27,0.004616709482386984,external
28,0.16763886883029847,external
29,0.02899419484451402,external
30,-0.010475992434644373,external
31,-0.07339384870077802,external
32,-0.03068465289664214,external
33,0.04897406554997045,external
34,0.00431572289741874,external
35,0.07497071921710903,external
36,0.08275794196084475,external
37,0.020931624579067835,external
38,0.004342985702696298,external
39,-0.012429178914959987,external
40,0.038726575121028554,external
41,-0.001007369932393624,external
42,0.006236753433654599,external
43,0.10502824581113752,external
44,0.021001600585427355,external
45,0.007551524612240605,external
46,-0.03760705513042021,external
47,0.021368296834688202,external
48,0.03798647567508035,external
49,0.10808254066135863,external
50,0.01836942941569515,external
51,0.022664672914141728,external
52,0.04063209828641543,external
53,0.07470423713107785,external
54,0.035137921636346,external
55,0.00010881753228846741,external
56,-0.02422002299128083,external
57,0.021698546559767034,external
58,-0.015013833764247036,external
59,-0.016206677932687815,external
60,0.08312804799855528,external
61,-0.008367393813173406,external
62,-0.04283014371718702,external
63,-0.030612644613087436,external
64,-0.03111559668723869,external
65,0.08111158647079443,external
66,0.01314030714118052,external
67,0.012903746155228471,external
68,-0.028463639088402753,external
69,-0.028734803137274625,external
70,0.02583150520687137,external
71,0.04051279214123509,external
72,-0.027512032525817954,external
73,-0.008666803271741436,external
74,0.012990398050670158,external
75,0.02157511692409955,external
76,0.052117958514771044,external
77,0.0445158864326877,external
78,0.059608538725581035,external
79,-0.005378544778048072,external
80,0.0380007939992514,external
81,0.10880978790506675,external
82,0.10908104679333275,external
83,0.030639012928837583,external
84,0.041601674821447256,external
85,0.0003062896486024462,external
