connection_idx,mean_connectivity_z,condition
0,0.00023915467237486018,internal
1,-0.019208062885579056,internal
2,-0.003185254933690637,internal
3,-0.057929758982299163,internal
4,-0.06334150491714562,internal
5,-0.010741751488430443,internal
6,0.033709065311249675,internal
7,0.013694006905152956,internal
8,0.0037990430848355225,internal
9,-0.0235968753387725,internal
10,0.009122329438545159,internal
11,0.13724252674450668,internal
12,0.04957331760064493,internal
13,0.017249439336027236,internal
14,-0.015721497850346516,internal
15,0.04306285736457533,internal
16,0.02425368349747903,internal
17,0.030416578657028126,internal
18,-0.013615517189414375,internal
19,0.01695378004457078,internal
20,-0.05819027163988431,internal
21,-0.04065301678641087,internal
22,0.03439544048580445,internal
23,0.06844019747830558,internal
24,0.04117769611557464,internal
25,-0.034500641016476076,internal
26,-0.008387719485997489,internal
27,0.04916117876827394,internal
28,0.15234796772417325,internal
29,0.06912477128354359,internal
30,0.03694477866280526,internal
31,-0.005964317408707,internal
32,0.03558061463053001,internal
33,0.04582573090054692,internal
34,0.0584233239032243,internal
35,0.03739514574418792,internal
36,0.020724373901940096,internal
37,0.00015591582254639857,internal
38,-0.02049821442682201,internal
39,0.0477143699157871,internal
40,0.05053249232924608,internal
41,-0.02440875625500148,internal
42,-0.008514358489506694,internal
43,0.05573129763727938,internal
44,0.04676472256762452,internal
45,0.030930731976696896,internal
46,0.0023381774424162485,internal
47,0.07836779310805858,internal
48,0.016967826321741885,internal
49,0.06787915910736549,internal
50,0.06947482894474132,internal
51,0.05944531498675367,internal
52,0.025851321591741305,internal
53,0.06469256735942037,internal
54,0.020832470744751707,internal
55,-0.006417455201294687,internal
56,0.07156335744686623,internal
57,0.039991160379139,internal
58,-0.004547268239670267,internal
59,0.0015085021946325712,internal
60,0.06146460085892868,internal
61,0.0280126230313504,internal
62,0.02853149269260324,internal
63,0.010131302543732937,internal
64,0.056479336189621,internal
65,0.0782772456130147,internal
66,0.04016049177972769,internal
67,0.040169419960566145,internal
68,-0.012189352683132556,internal
69,-0.054773393763927515,internal
70,0.024240415847772187,internal
71,0.03610848719449108,internal
72,-0.027044348450403904,internal
73,-0.023304604392049715,internal
74,-0.05177128384143923,internal
75,0.03260929128937486,internal
76,0.03594876987775671,internal
77,0.07128684475941212,internal
78,0.06028206308666101,internal
79,0.010441478358727855,internal
80,0.03618674310869013,internal
81,0.15621201492352046,internal
82,0.06780323808547892,internal
83,0.02424498400563625,internal
84,0.0842339444687074,internal
85,-0.00832537576875327,internal
86,-0.062324637488764996,internal
87,0.041901231794097715,internal
88,0.07755866651544159,internal
89,-0.01897584583012274,internal
90,-0.02741306314936218,internal
91,-0.04524975257499542,internal
92,-0.00783554317545916,internal
93,0.01758179982442221,internal
